season,game_type,week,gametime,away_team,away_score,home_team,home_score,result,total,overtime,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,Score_Diff,Home_Win?
2020,REG,1,20:20,HOU,20,KC,34,14,54,0,7,7,349,-423,9.5,-105,-105,53.5,-109,-102,0,outdoors,grass,56,7,14,1
2020,REG,1,13:00,SEA,38,ATL,25,-13,63,0,7,7,102,-112,1,-105,-105,49.5,-108,-103,0,closed,fieldturf,,,-13,0
2020,REG,1,13:00,CLE,6,BAL,38,32,44,0,7,7,260,-302,7,-107,-103,47,100,-112,1,outdoors,grass,76,5,32,1
2020,REG,1,13:00,NYJ,17,BUF,27,10,44,0,7,7,242,-279,6.5,-110,100,39.5,-114,102,1,outdoors,astroturf,67,15,10,1
2020,REG,1,13:00,LV,34,CAR,30,-4,64,0,7,7,-124,134,-3,-112,-113,48,-101,-110,0,outdoors,grass,81,5,-4,0
2020,REG,1,13:00,CHI,27,DET,23,-4,50,0,7,7,116,-128,2.5,-108,-102,42.5,-108,-103,1,dome,fieldturf,,,-4,0
2020,REG,1,13:00,IND,20,JAX,27,7,47,0,7,7,-309,265,-7,-108,-102,44,-103,-108,1,outdoors,grass,80,3,7,1
2020,REG,1,13:00,GB,43,MIN,34,-9,77,0,7,7,103,-114,1,-103,-107,45,-110,-102,1,dome,sportturf,,,-9,0
2020,REG,1,13:00,MIA,11,NE,21,10,32,0,7,7,278,-327,7.5,-112,102,41.5,-110,-101,1,outdoors,grass,70,8,10,1
2020,REG,1,13:00,PHI,17,WAS,27,10,44,0,7,7,-227,200,-5.5,-106,-104,41.5,-111,-100,1,outdoors,grass,76,5,10,1
2020,REG,1,16:05,LAC,16,CIN,13,-3,29,0,7,7,-129,117,-2.5,-100,-110,41.5,-114,102,0,outdoors,grass,83,6,-3,0
2020,REG,1,16:25,TB,23,NO,34,11,57,0,7,7,174,-196,4,102,-113,48.5,-112,101,1,dome,astroturf,,,11,1
2020,REG,1,16:25,ARI,24,SF,20,-4,44,0,7,7,242,-280,7,-123,111,48.5,106,-118,1,outdoors,grass,66,6,-4,0
2020,REG,1,20:20,DAL,17,LA,20,3,37,0,7,7,103,-114,1,-103,-107,52,-111,-100,0,dome,matrixturf,,,3,1
2020,REG,1,19:15,PIT,26,NYG,16,-10,42,0,7,7,-253,221,-6,-105,-105,44,-105,-106,0,outdoors,fieldturf,71,5,-10,0
2020,REG,1,22:10,TEN,16,DEN,14,-2,30,0,7,7,-175,157,-3,-121,109,41,100,-112,0,outdoors,grass,79,10,-2,0
2020,REG,2,20:20,CIN,30,CLE,35,5,65,0,4,4,213,-243,6,-111,100,44.5,101,-113,1,outdoors,grass,65,8,5,1
2020,REG,2,13:00,NYG,13,CHI,17,4,30,0,6,7,196,-222,4.5,-105,-105,42.5,-103,-108,0,outdoors,grass,66,12,4,1
2020,REG,2,13:00,ATL,39,DAL,40,1,79,0,7,7,131,-145,3,-119,108,53,-102,-109,0,closed,fieldturf,,,1,1
2020,REG,2,13:00,DET,21,GB,42,21,63,0,7,7,245,-284,7,-113,102,51,-101,-110,1,outdoors,grass,66,12,21,1
2020,REG,2,13:00,MIN,11,IND,28,17,39,0,7,7,158,-176,3.5,-111,101,49,-107,-104,0,closed,fieldturf,,,17,1
2020,REG,2,13:00,BUF,31,MIA,28,-3,59,0,7,7,-244,214,-5.5,-109,-101,42.5,-102,-109,1,outdoors,grass,90,5,-3,0
2020,REG,2,13:00,SF,31,NYJ,13,-18,44,0,7,7,-301,259,-7,101,-111,41.5,-108,-103,0,outdoors,fieldturf,61,7,-18,0
2020,REG,2,13:00,LA,37,PHI,19,-18,56,0,7,7,111,-123,2,-107,-103,46,-105,-106,0,outdoors,grass,62,12,-18,0
2020,REG,2,13:00,DEN,21,PIT,26,5,47,0,6,6,232,-267,6,-100,-110,41,-114,102,0,outdoors,grass,64,5,5,1
2020,REG,2,13:00,CAR,17,TB,31,14,48,0,7,7,290,-342,7.5,-106,-104,47,-108,-103,1,outdoors,grass,85,17,14,1
2020,REG,2,13:00,JAX,30,TEN,33,3,63,0,7,6,254,-295,7,-116,105,44.5,-103,-108,1,outdoors,grass,72,5,3,1
2020,REG,2,16:05,WAS,15,ARI,30,15,45,0,7,7,268,-313,7.5,-120,109,46.5,-110,-101,0,closed,grass,,,15,1
2020,REG,2,16:25,BAL,33,HOU,16,-17,49,0,7,10,-344,292,-7.5,-102,-108,49.5,-118,106,0,closed,grass,,,-17,0
2020,REG,2,16:25,KC,23,LAC,20,-3,43,1,10,7,-370,311,-8.5,-104,-106,47,-110,-102,1,dome,matrixturf,,,-3,0
2020,REG,2,20:20,NE,30,SEA,35,5,65,0,7,7,177,-199,4,-102,-108,45,-113,101,0,outdoors,fieldturf,70,5,5,1
2020,REG,2,20:15,NO,24,LV,34,10,58,0,8,8,-201,180,-4,-102,-107,47.5,-109,-102,0,dome,grass,,,10,1
2020,REG,3,20:20,MIA,31,JAX,13,-18,44,0,4,4,124,-138,3,-126,114,49,-105,-106,0,outdoors,grass,81,12,-18,0
