season,game_type,week,gametime,away_team,away_score,home_team,home_score,result,total,overtime,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,Score_Diff,Home_Win?
2024,REG,1,20:20,BAL,20,KC,27,7,47,0,7,7,124,-148,3,-118,-102,46,-110,-110,0,outdoors,grass,67,8,7,1
2024,REG,1,20:15,GB,29,PHI,34,5,63,0,7,7,110,-130,2,-110,-110,49.5,-112,-108,0,outdoors,,,,5,1
2024,REG,1,13:00,PIT,18,ATL,10,-8,28,0,7,7,160,-192,4,-110,-110,43,-115,-105,0,closed,fieldturf,,,-8,0
2024,REG,1,13:00,ARI,28,BUF,34,6,62,0,7,7,250,-310,6.5,-105,-115,46,-112,-108,0,outdoors,a_turf,61,20,6,1
2024,REG,1,13:00,TEN,17,CHI,24,7,41,0,7,7,164,-198,4,-108,-112,43,-110,-110,0,outdoors,grass,67,8,7,1
2024,REG,1,13:00,NE,16,CIN,10,-6,26,0,7,7,295,-375,8,-110,-110,40.5,-112,-108,0,outdoors,fieldturf,66,5,-6,0
2024,REG,1,13:00,HOU,29,IND,27,-2,56,0,7,7,-155,130,-3,-108,-112,49,-112,-108,1,closed,fieldturf,,,-2,0
2024,REG,1,13:00,JAX,17,MIA,20,3,37,0,7,7,150,-180,3.5,-110,-110,49.5,-112,-108,0,outdoors,grass,91,10,3,1
2024,REG,1,13:00,CAR,10,NO,47,37,57,0,7,7,160,-192,3.5,-108,-112,41.5,-112,-108,1,dome,sportturf,,,37,1
2024,REG,1,13:00,MIN,28,NYG,6,-22,34,0,7,7,-115,-105,-1,-108,-112,42.5,-108,-112,0,outdoors,fieldturf,64,10,-22,0
2024,REG,1,16:05,LV,10,LAC,22,12,32,0,7,7,130,-155,3,-118,-102,41,-108,-112,1,dome,matrixturf,,,12,1
2024,REG,1,16:05,DEN,20,SEA,26,6,46,0,7,7,225,-278,6.5,-110,-110,42,-108,-112,0,outdoors,fieldturf,65,7,6,1
2024,REG,1,16:25,DAL,33,CLE,17,-16,50,0,7,7,110,-130,2.5,-112,-108,42,-108,-112,0,outdoors,grass,69,17,-16,0
2024,REG,1,16:25,WAS,20,TB,37,17,57,0,7,7,164,-198,4,-112,-108,42,-110,-110,0,outdoors,grass,93,6,17,1
2024,REG,1,20:20,LA,20,DET,26,6,46,1,7,7,185,-225,5,-108,-112,54,-112,-108,0,dome,fieldturf,,,6,1
2024,REG,1,20:15,NYJ,19,SF,32,13,51,0,7,7,150,-180,3.5,-115,-105,43,-108,-112,0,outdoors,grass,76,10,13,1
2024,REG,2,20:15,BUF,31,MIA,10,-21,41,0,4,4,114,-135,2.5,-110,-110,48.5,-105,-115,1,outdoors,grass,86,3,-21,0
2024,REG,2,13:00,LV,26,BAL,23,-3,49,0,7,10,350,-455,9,-112,-108,41,-108,-112,0,outdoors,grass,76,10,-3,0
2024,REG,2,13:00,LAC,26,CAR,3,-23,29,0,7,7,-225,185,-5,-110,-110,39,-112,-108,0,outdoors,grass,78,13,-23,0
2024,REG,2,13:00,NO,44,DAL,19,-25,63,0,7,7,235,-290,6.5,-112,-108,47,-108,-112,0,closed,matrixturf,,,-25,0
2024,REG,2,13:00,TB,20,DET,16,-4,36,0,7,7,295,-375,7.5,-108,-112,51.5,-112,-108,0,dome,fieldturf,,,-4,0
2024,REG,2,13:00,IND,10,GB,16,6,26,0,7,9,-142,120,-3,-102,-118,41.5,-110,-110,0,outdoors,grass,85,7,6,1
2024,REG,2,13:00,CLE,18,JAX,13,-5,31,0,7,7,142,-170,3,100,-120,41.5,-108,-112,0,outdoors,grass,80,12,-5,0
2024,REG,2,13:00,SF,17,MIN,23,6,40,0,6,7,-218,180,-4.5,-112,-108,46.5,-108,-112,0,dome,sportturf,,,6,1
2024,REG,2,13:00,SEA,23,NE,20,-3,43,1,7,7,-170,142,-3.5,-102,-118,39,-110,-110,0,outdoors,fieldturf,77,5,-3,0
2024,REG,2,13:00,NYJ,24,TEN,17,-7,41,0,6,7,-180,150,-3.5,-112,-108,41.5,-112,-108,0,outdoors,grass,80,13,-7,0
2024,REG,2,13:00,NYG,18,WAS,21,3,39,0,7,7,105,-125,1.5,-108,-112,42.5,-105,-115,1,outdoors,grass,82,11,3,1
2024,REG,2,16:05,LA,10,ARI,41,31,51,0,7,7,-112,-108,-1,-105,-115,47.5,-118,-102,1,closed,grass,,,31,1
